Round 0: acc=0.793333, bestacc=0.793333
Round 1: acc=0.864444, bestacc=0.864444
Round 2: acc=0.902963, bestacc=0.902963
Round 3: acc=0.888148, bestacc=0.902963
Round 4: acc=0.928889, bestacc=0.928889
Round 5: acc=0.908148, bestacc=0.928889
Round 6: acc=0.951111, bestacc=0.951111
Round 7: acc=0.852593, bestacc=0.951111
Round 8: acc=0.954074, bestacc=0.954074
Round 9: acc=0.960000, bestacc=0.960000
Round 10: acc=0.983704, bestacc=0.983704
Round 11: acc=0.985926, bestacc=0.985926
Round 12: acc=0.988889, bestacc=0.988889
Round 13: acc=0.985926, bestacc=0.988889
Round 14: acc=0.984444, bestacc=0.988889
Round 15: acc=0.988148, bestacc=0.988889
Round 16: acc=0.985926, bestacc=0.988889
Round 17: acc=0.989630, bestacc=0.989630
Round 18: acc=0.988889, bestacc=0.989630
Round 19: acc=0.987407, bestacc=0.989630
Round 20: acc=0.988889, bestacc=0.989630
Round 21: acc=0.985926, bestacc=0.989630
Round 22: acc=0.990370, bestacc=0.990370
Round 23: acc=0.988889, bestacc=0.990370
Round 24: acc=0.988148, bestacc=0.990370
Round 25: acc=0.987407, bestacc=0.990370
Round 26: acc=0.988889, bestacc=0.990370
Round 27: acc=0.989630, bestacc=0.990370
Round 28: acc=0.989630, bestacc=0.990370
Round 29: acc=0.991111, bestacc=0.991111
Round 30: acc=0.988148, bestacc=0.991111
Round 31: acc=0.989630, bestacc=0.991111
Round 32: acc=0.991111, bestacc=0.991111
Round 33: acc=0.990370, bestacc=0.991111
Round 34: acc=0.989630, bestacc=0.991111
Round 35: acc=0.991852, bestacc=0.991852
Round 36: acc=0.989630, bestacc=0.991852
Round 37: acc=0.988889, bestacc=0.991852
Round 38: acc=0.989630, bestacc=0.991852
Round 39: acc=0.990370, bestacc=0.991852
Round 40: acc=0.989630, bestacc=0.991852
Round 41: acc=0.991852, bestacc=0.991852
Round 42: acc=0.985926, bestacc=0.991852
Round 43: acc=0.991111, bestacc=0.991852
Round 44: acc=0.991111, bestacc=0.991852
Round 45: acc=0.988889, bestacc=0.991852
Round 46: acc=0.990370, bestacc=0.991852
Round 47: acc=0.991111, bestacc=0.991852
Round 48: acc=0.991111, bestacc=0.991852
Round 49: acc=0.992593, bestacc=0.992593
