Round 0: src_acc=0.900503, tgt_acc=0.859526, best_tgt=0.859526
Round 1: src_acc=0.958970, tgt_acc=0.876210, best_tgt=0.876210
Round 2: src_acc=0.989845, tgt_acc=0.962963, best_tgt=0.962963
Round 3: src_acc=0.982767, tgt_acc=0.951285, best_tgt=0.962963
Round 4: src_acc=0.991897, tgt_acc=0.970637, best_tgt=0.970637
Round 5: src_acc=0.998974, tgt_acc=0.980647, best_tgt=0.980647
Round 6: src_acc=0.995692, tgt_acc=0.963630, best_tgt=0.980647
Round 7: src_acc=0.997743, tgt_acc=0.972973, best_tgt=0.980647
Round 8: src_acc=0.999487, tgt_acc=0.972639, best_tgt=0.980647
Round 9: src_acc=0.999590, tgt_acc=0.975309, best_tgt=0.980647
Round 10: src_acc=0.999897, tgt_acc=0.989323, best_tgt=0.989323
Round 11: src_acc=1.000000, tgt_acc=0.990324, best_tgt=0.990324
Round 12: src_acc=1.000000, tgt_acc=0.988989, best_tgt=0.990324
Round 13: src_acc=1.000000, tgt_acc=0.990657, best_tgt=0.990657
Round 14: src_acc=1.000000, tgt_acc=0.989656, best_tgt=0.990657
Round 15: src_acc=1.000000, tgt_acc=0.989323, best_tgt=0.990657
Round 16: src_acc=1.000000, tgt_acc=0.988322, best_tgt=0.990657
Round 17: src_acc=1.000000, tgt_acc=0.990991, best_tgt=0.990991
Round 18: src_acc=1.000000, tgt_acc=0.991325, best_tgt=0.991325
Round 19: src_acc=1.000000, tgt_acc=0.990991, best_tgt=0.991325
