Round 0: src_acc=0.995179, tgt_acc=0.965299, best_tgt=0.965299
Round 1: src_acc=0.998359, tgt_acc=0.977978, best_tgt=0.977978
Round 2: src_acc=0.996718, tgt_acc=0.952286, best_tgt=0.977978
Round 3: src_acc=0.999795, tgt_acc=0.983317, best_tgt=0.983317
Round 4: src_acc=0.997743, tgt_acc=0.965966, best_tgt=0.983317
Round 5: src_acc=0.999590, tgt_acc=0.988322, best_tgt=0.988322
Round 6: src_acc=0.997436, tgt_acc=0.964965, best_tgt=0.988322
Round 7: src_acc=0.981126, tgt_acc=0.953954, best_tgt=0.988322
Round 8: src_acc=0.999795, tgt_acc=0.986653, best_tgt=0.988322
Round 9: src_acc=1.000000, tgt_acc=0.981982, best_tgt=0.988322
Round 10: src_acc=1.000000, tgt_acc=0.990324, best_tgt=0.990324
Round 11: src_acc=1.000000, tgt_acc=0.990324, best_tgt=0.990324
Round 12: src_acc=1.000000, tgt_acc=0.991658, best_tgt=0.991658
Round 13: src_acc=1.000000, tgt_acc=0.989990, best_tgt=0.991658
Round 14: src_acc=1.000000, tgt_acc=0.990991, best_tgt=0.991658
Round 15: src_acc=1.000000, tgt_acc=0.988322, best_tgt=0.991658
Round 16: src_acc=1.000000, tgt_acc=0.990657, best_tgt=0.991658
Round 17: src_acc=1.000000, tgt_acc=0.992993, best_tgt=0.992993
Round 18: src_acc=1.000000, tgt_acc=0.992326, best_tgt=0.992993
Round 19: src_acc=1.000000, tgt_acc=0.990657, best_tgt=0.992993
Round 20: src_acc=1.000000, tgt_acc=0.991658, best_tgt=0.992993
Round 21: src_acc=1.000000, tgt_acc=0.991992, best_tgt=0.992993
Round 22: src_acc=1.000000, tgt_acc=0.990991, best_tgt=0.992993
Round 23: src_acc=1.000000, tgt_acc=0.991658, best_tgt=0.992993
Round 24: src_acc=1.000000, tgt_acc=0.991325, best_tgt=0.992993
Round 25: src_acc=1.000000, tgt_acc=0.991325, best_tgt=0.992993
Round 26: src_acc=1.000000, tgt_acc=0.991325, best_tgt=0.992993
Round 27: src_acc=1.000000, tgt_acc=0.991325, best_tgt=0.992993
Round 28: src_acc=1.000000, tgt_acc=0.993660, best_tgt=0.993660
Round 29: src_acc=1.000000, tgt_acc=0.991992, best_tgt=0.993660
Round 30: src_acc=1.000000, tgt_acc=0.991658, best_tgt=0.993660
Round 31: src_acc=1.000000, tgt_acc=0.992326, best_tgt=0.993660
Round 32: src_acc=1.000000, tgt_acc=0.992993, best_tgt=0.993660
Round 33: src_acc=1.000000, tgt_acc=0.991992, best_tgt=0.993660
Round 34: src_acc=1.000000, tgt_acc=0.992326, best_tgt=0.993660
Round 35: src_acc=1.000000, tgt_acc=0.991992, best_tgt=0.993660
Round 36: src_acc=1.000000, tgt_acc=0.991658, best_tgt=0.993660
Round 37: src_acc=1.000000, tgt_acc=0.991658, best_tgt=0.993660
Round 38: src_acc=1.000000, tgt_acc=0.991325, best_tgt=0.993660
Round 39: src_acc=1.000000, tgt_acc=0.991992, best_tgt=0.993660
Round 40: src_acc=1.000000, tgt_acc=0.991658, best_tgt=0.993660
Round 41: src_acc=1.000000, tgt_acc=0.991992, best_tgt=0.993660
Round 42: src_acc=1.000000, tgt_acc=0.991992, best_tgt=0.993660
Round 43: src_acc=1.000000, tgt_acc=0.991992, best_tgt=0.993660
Round 44: src_acc=1.000000, tgt_acc=0.992326, best_tgt=0.993660
Round 45: src_acc=1.000000, tgt_acc=0.990991, best_tgt=0.993660
Round 46: src_acc=1.000000, tgt_acc=0.991325, best_tgt=0.993660
Round 47: src_acc=1.000000, tgt_acc=0.992659, best_tgt=0.993660
Round 48: src_acc=1.000000, tgt_acc=0.992659, best_tgt=0.993660
Round 49: src_acc=1.000000, tgt_acc=0.992659, best_tgt=0.993660
