Round 0: src_acc=0.980190, tgt_acc=0.872000, best_tgt=0.872000
Round 1: src_acc=0.973905, tgt_acc=0.802667, best_tgt=0.872000
Round 2: src_acc=0.987238, tgt_acc=0.869333, best_tgt=0.872000
Round 3: src_acc=0.969524, tgt_acc=0.874000, best_tgt=0.874000
Round 4: src_acc=0.946095, tgt_acc=0.866667, best_tgt=0.874000
Round 5: src_acc=0.931619, tgt_acc=0.888667, best_tgt=0.888667
Round 6: src_acc=0.941143, tgt_acc=0.826667, best_tgt=0.888667
Round 7: src_acc=0.960190, tgt_acc=0.830667, best_tgt=0.888667
Round 8: src_acc=0.998667, tgt_acc=0.918667, best_tgt=0.918667
Round 9: src_acc=0.984952, tgt_acc=0.896667, best_tgt=0.918667
Round 10: src_acc=1.000000, tgt_acc=0.958667, best_tgt=0.958667
Round 11: src_acc=1.000000, tgt_acc=0.960000, best_tgt=0.960000
Round 12: src_acc=1.000000, tgt_acc=0.938000, best_tgt=0.960000
Round 13: src_acc=1.000000, tgt_acc=0.941333, best_tgt=0.960000
Round 14: src_acc=1.000000, tgt_acc=0.958000, best_tgt=0.960000
Round 15: src_acc=1.000000, tgt_acc=0.966667, best_tgt=0.966667
Round 16: src_acc=1.000000, tgt_acc=0.968000, best_tgt=0.968000
Round 17: src_acc=1.000000, tgt_acc=0.949333, best_tgt=0.968000
Round 18: src_acc=1.000000, tgt_acc=0.959333, best_tgt=0.968000
Round 19: src_acc=1.000000, tgt_acc=0.965333, best_tgt=0.968000
Round 20: src_acc=1.000000, tgt_acc=0.970000, best_tgt=0.970000
Round 21: src_acc=1.000000, tgt_acc=0.969333, best_tgt=0.970000
Round 22: src_acc=1.000000, tgt_acc=0.961333, best_tgt=0.970000
Round 23: src_acc=1.000000, tgt_acc=0.966667, best_tgt=0.970000
Round 24: src_acc=1.000000, tgt_acc=0.966000, best_tgt=0.970000
Round 25: src_acc=1.000000, tgt_acc=0.972667, best_tgt=0.972667
Round 26: src_acc=1.000000, tgt_acc=0.968667, best_tgt=0.972667
Round 27: src_acc=1.000000, tgt_acc=0.966000, best_tgt=0.972667
Round 28: src_acc=1.000000, tgt_acc=0.974667, best_tgt=0.974667
Round 29: src_acc=1.000000, tgt_acc=0.959333, best_tgt=0.974667
Round 30: src_acc=1.000000, tgt_acc=0.966667, best_tgt=0.974667
Round 31: src_acc=1.000000, tgt_acc=0.966000, best_tgt=0.974667
Round 32: src_acc=1.000000, tgt_acc=0.978000, best_tgt=0.978000
Round 33: src_acc=1.000000, tgt_acc=0.968667, best_tgt=0.978000
Round 34: src_acc=1.000000, tgt_acc=0.975333, best_tgt=0.978000
Round 35: src_acc=1.000000, tgt_acc=0.966667, best_tgt=0.978000
Round 36: src_acc=1.000000, tgt_acc=0.972667, best_tgt=0.978000
Round 37: src_acc=1.000000, tgt_acc=0.964000, best_tgt=0.978000
Round 38: src_acc=1.000000, tgt_acc=0.961333, best_tgt=0.978000
Round 39: src_acc=1.000000, tgt_acc=0.969333, best_tgt=0.978000
Round 40: src_acc=1.000000, tgt_acc=0.970667, best_tgt=0.978000
Round 41: src_acc=1.000000, tgt_acc=0.967333, best_tgt=0.978000
Round 42: src_acc=1.000000, tgt_acc=0.969333, best_tgt=0.978000
Round 43: src_acc=1.000000, tgt_acc=0.975333, best_tgt=0.978000
Round 44: src_acc=1.000000, tgt_acc=0.972667, best_tgt=0.978000
Round 45: src_acc=1.000000, tgt_acc=0.970667, best_tgt=0.978000
Round 46: src_acc=1.000000, tgt_acc=0.971333, best_tgt=0.978000
Round 47: src_acc=1.000000, tgt_acc=0.969333, best_tgt=0.978000
Round 48: src_acc=1.000000, tgt_acc=0.972000, best_tgt=0.978000
Round 49: src_acc=1.000000, tgt_acc=0.976667, best_tgt=0.978000
