Round 0: acc=0.837778, bestacc=0.837778
Round 1: acc=0.892593, bestacc=0.892593
Round 2: acc=0.943704, bestacc=0.943704
Round 3: acc=0.962963, bestacc=0.962963
Round 4: acc=0.950370, bestacc=0.962963
Round 5: acc=0.951852, bestacc=0.962963
Round 6: acc=0.916296, bestacc=0.962963
Round 7: acc=0.971852, bestacc=0.971852
Round 8: acc=0.934815, bestacc=0.971852
Round 9: acc=0.916296, bestacc=0.971852
Round 10: acc=0.977037, bestacc=0.977037
Round 11: acc=0.984444, bestacc=0.984444
Round 12: acc=0.984444, bestacc=0.984444
Round 13: acc=0.985185, bestacc=0.985185
Round 14: acc=0.985185, bestacc=0.985185
Round 15: acc=0.988148, bestacc=0.988148
Round 16: acc=0.989630, bestacc=0.989630
Round 17: acc=0.983704, bestacc=0.989630
Round 18: acc=0.988889, bestacc=0.989630
Round 19: acc=0.991111, bestacc=0.991111
Round 20: acc=0.990370, bestacc=0.991111
Round 21: acc=0.992593, bestacc=0.992593
Round 22: acc=0.990370, bestacc=0.992593
Round 23: acc=0.991111, bestacc=0.992593
Round 24: acc=0.992593, bestacc=0.992593
Round 25: acc=0.991111, bestacc=0.992593
Round 26: acc=0.991852, bestacc=0.992593
Round 27: acc=0.989630, bestacc=0.992593
Round 28: acc=0.991111, bestacc=0.992593
Round 29: acc=0.991111, bestacc=0.992593
Round 30: acc=0.990370, bestacc=0.992593
Round 31: acc=0.991852, bestacc=0.992593
Round 32: acc=0.991111, bestacc=0.992593
Round 33: acc=0.990370, bestacc=0.992593
Round 34: acc=0.991111, bestacc=0.992593
Round 35: acc=0.990370, bestacc=0.992593
Round 36: acc=0.990370, bestacc=0.992593
Round 37: acc=0.991111, bestacc=0.992593
Round 38: acc=0.991852, bestacc=0.992593
Round 39: acc=0.988889, bestacc=0.992593
Round 40: acc=0.991111, bestacc=0.992593
Round 41: acc=0.989630, bestacc=0.992593
Round 42: acc=0.988148, bestacc=0.992593
Round 43: acc=0.990370, bestacc=0.992593
Round 44: acc=0.991111, bestacc=0.992593
Round 45: acc=0.989630, bestacc=0.992593
Round 46: acc=0.990370, bestacc=0.992593
Round 47: acc=0.988889, bestacc=0.992593
Round 48: acc=0.991111, bestacc=0.992593
Round 49: acc=0.990370, bestacc=0.992593
