Round 0: acc=0.341667, bestacc=0.500000
Round 1: acc=0.356250, bestacc=0.500000
Round 2: acc=0.371875, bestacc=0.500000
Round 3: acc=0.376042, bestacc=0.500000
Round 4: acc=0.342708, bestacc=0.500000
Round 5: acc=0.413542, bestacc=0.500000
Round 6: acc=0.350000, bestacc=0.500000
Round 7: acc=0.351042, bestacc=0.500000
Round 8: acc=0.347917, bestacc=0.500000
Round 9: acc=0.365625, bestacc=0.500000
Round 10: acc=0.383333, bestacc=0.500000
Round 11: acc=0.369792, bestacc=0.500000
Round 12: acc=0.386458, bestacc=0.500000
Round 13: acc=0.382292, bestacc=0.500000
Round 14: acc=0.392708, bestacc=0.500000
Round 15: acc=0.383333, bestacc=0.500000
Round 16: acc=0.373958, bestacc=0.500000
Round 17: acc=0.375000, bestacc=0.500000
Round 18: acc=0.372917, bestacc=0.500000
Round 19: acc=0.363542, bestacc=0.500000
Round 20: acc=0.371875, bestacc=0.500000
Round 21: acc=0.360417, bestacc=0.500000
Round 22: acc=0.366667, bestacc=0.500000
Round 23: acc=0.367708, bestacc=0.500000
Round 24: acc=0.368750, bestacc=0.500000
Round 25: acc=0.369792, bestacc=0.500000
Round 26: acc=0.372917, bestacc=0.500000
Round 27: acc=0.376042, bestacc=0.500000
Round 28: acc=0.373958, bestacc=0.500000
Round 29: acc=0.371875, bestacc=0.500000
Round 30: acc=0.377083, bestacc=0.500000
Round 31: acc=0.361458, bestacc=0.500000
Round 32: acc=0.372917, bestacc=0.500000
Round 33: acc=0.372917, bestacc=0.500000
Round 34: acc=0.373958, bestacc=0.500000
Round 35: acc=0.372917, bestacc=0.500000
Round 36: acc=0.382292, bestacc=0.500000
Round 37: acc=0.377083, bestacc=0.500000
Round 38: acc=0.380208, bestacc=0.500000
Round 39: acc=0.367708, bestacc=0.500000
Round 40: acc=0.384375, bestacc=0.500000
Round 41: acc=0.379167, bestacc=0.500000
Round 42: acc=0.372917, bestacc=0.500000
Round 43: acc=0.369792, bestacc=0.500000
Round 44: acc=0.373958, bestacc=0.500000
Round 45: acc=0.378125, bestacc=0.500000
Round 46: acc=0.375000, bestacc=0.500000
Round 47: acc=0.387500, bestacc=0.500000
Round 48: acc=0.379167, bestacc=0.500000
Round 49: acc=0.379167, bestacc=0.500000
