Round 0: acc=0.905185, bestacc=0.905185
Round 1: acc=0.895556, bestacc=0.905185
Round 2: acc=0.942963, bestacc=0.942963
Round 3: acc=0.890370, bestacc=0.942963
Round 4: acc=0.940741, bestacc=0.942963
Round 5: acc=0.889630, bestacc=0.942963
Round 6: acc=0.927407, bestacc=0.942963
Round 7: acc=0.900741, bestacc=0.942963
Round 8: acc=0.946667, bestacc=0.946667
Round 9: acc=0.930370, bestacc=0.946667
Round 10: acc=0.962963, bestacc=0.962963
Round 11: acc=0.966667, bestacc=0.966667
Round 12: acc=0.979259, bestacc=0.979259
Round 13: acc=0.974815, bestacc=0.979259
Round 14: acc=0.974074, bestacc=0.979259
Round 15: acc=0.980741, bestacc=0.980741
Round 16: acc=0.978519, bestacc=0.980741
Round 17: acc=0.975556, bestacc=0.980741
Round 18: acc=0.982222, bestacc=0.982222
Round 19: acc=0.981481, bestacc=0.982222
Round 20: acc=0.979259, bestacc=0.982222
Round 21: acc=0.980741, bestacc=0.982222
Round 22: acc=0.982963, bestacc=0.982963
Round 23: acc=0.984444, bestacc=0.984444
Round 24: acc=0.981481, bestacc=0.984444
Round 25: acc=0.981481, bestacc=0.984444
Round 26: acc=0.981481, bestacc=0.984444
Round 27: acc=0.980000, bestacc=0.984444
Round 28: acc=0.982963, bestacc=0.984444
Round 29: acc=0.982963, bestacc=0.984444
Round 30: acc=0.985185, bestacc=0.985185
Round 31: acc=0.982963, bestacc=0.985185
Round 32: acc=0.982963, bestacc=0.985185
Round 33: acc=0.984444, bestacc=0.985185
Round 34: acc=0.979259, bestacc=0.985185
Round 35: acc=0.982222, bestacc=0.985185
Round 36: acc=0.975556, bestacc=0.985185
Round 37: acc=0.980741, bestacc=0.985185
Round 38: acc=0.983704, bestacc=0.985185
Round 39: acc=0.977778, bestacc=0.985185
Round 40: acc=0.983704, bestacc=0.985185
Round 41: acc=0.980741, bestacc=0.985185
Round 42: acc=0.985185, bestacc=0.985185
Round 43: acc=0.982222, bestacc=0.985185
Round 44: acc=0.981481, bestacc=0.985185
Round 45: acc=0.982963, bestacc=0.985185
Round 46: acc=0.982963, bestacc=0.985185
Round 47: acc=0.983704, bestacc=0.985185
Round 48: acc=0.983704, bestacc=0.985185
Round 49: acc=0.984444, bestacc=0.985185
